adjustment_ratio,adjustment_type,ann_type,avg_price_1d,avg_price_20d,bond_code,bond_name,delisting_date,doc_id,effective_date,evidence_page,evidence_text,last_convert_date,new_conv_price,notes,original_conv_price,premium_rate,pricing_base_date,publish_date,record_date,redemption_price,redemption_trigger,stock_code,stock_name,trigger_rule
,,强赎类公告,,,148099,22万科 07,,81fe41f4a462836c,,1,万科企业股份有限公司关于行使 “22万科 07”公司债券 赎回选择权的公告 二〇二五年 九月二十五日,,,,,,,2025-09-25,,,发行人将于本期债券第3个计息年度付息日前的第20个交易日，在指定的信息披露媒体上发布关于是否行使赎回选择权的公告。若决定行使赎回权利，本期债券将被视为第3年全部到期,000002,万科企业股份有限公司,
25.5,主动下修,下修类公告,,,118020,芳源转债,,82a33f15dc773322,2026-01-23,Page 1,2026年1月23日至2026年2月5日，公司股票在连续30个交易日中已有10个交易日的收盘价低于当期转股价格的85%（即11.90元/股）,,14.0,,18.63,,2026-01-23,2026-02-06,,,,688148,芳源股份,连续30个交易日中有15个交易日收盘价低于转股价的85%
0.975,被动调整,下修类公告,,,127093,章鼓转债,,823ddd8ec5651f7d,,1,自2026年4月8日起至2026年4月21日，公司股票已有十个交易日收盘价低于‘章鼓转债’当期转股价的85%，即8.6275元/股的情形,,10.15,,10.25,,,2026-04-22,,,,002598,ST章鼓,当公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格的85%
,,下修类公告,,,128097,奥佳转债,,7f83f1d0babccc4c,,5,自2026年1月5日起至2026年1月16日，公司股票已有10个交易日的收盘价低于当期转股价格的85%，即7.95元/股的情形,,,,9.35,,,2026-01-16,,,,002614,奥佳华,当公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格的85%时
1.11,被动调整,下修类公告,,,128134,鸿路转债,,82b2e7ba674d5cb1,,,证券代码:002541 证券简称:鸿路钢构 债券代码:128134 债券简称:鸿路转债 自2025年12月22日起至2026年1月6日，公司股票已有10个交易日的收盘价格低于当期转股价格32.08元/股的85%，即27.27元/股的情形。若后续公司股票收盘价格继续低于当期转股价格的85%，预计将有可能触发转股价格向下修正条件。,,32.08,,32.44,,,2026-01-07,,,,002541,鸿路钢构,当公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格的85%时
,,强赎类公告,,,123243,严牌转债,,8564b52f5b073e73,,4,在转股期内，如果公司股票在连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）,2030-07-09,,,,,,2026-05-19,,,在转股期内，如果公司股票在连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）,301081,严牌股份,
,,强赎类公告,,,118004,博瑞转债,2026-05-22,86363f3c02abd095,,7,博瑞生物医药（苏州）股份有限公司董事会 2026年5月21日,2026-05-21,,,,,,2026-05-21,2026-05-21,100.95,转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：（1）在转股期内，如果公司股票在连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）,688166,博瑞医药,
,被动调整,下修类公告,,,123192,科思转债,,873ea3ba4e788743,,5,自2025年12月22日至2026年1月6日，南京科思化学股份有限公司（以下简称“公司”）股票已有10个交易日的收盘价格低于‘科思转债’当期转股价格（17.39元/股）的85%（即14.78元/股）,,,,17.39,,,2026-01-06,,,,300856,科思股份,当公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价格低于当期转股价格的85%时
,,强赎类公告,,,123121,帝尔转债,,8afd149caf064f57,,Page 1,证券代码：300776 证券简称：帝尔激光 公告编号：2026-053 债券代码：123121 债券简称：帝尔转债 可转债赎回日：2026年6月3日 可转债赎回价格：102.068元/张（含息税） 赎回登记日：2026年6月2日,2026-06-03,,,,2.07,,2026-05-19,2026-06-02,102.07,连续三十个交易日收盘价不低于转股价的130%,300776,帝尔激光,连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）
,,强赎类公告,,,118033,华特转债,2026-06-10,896143262cebc9bc,,2,广东华特气体股份有限公司（以下简称“公司”）股票自2026年4月21日至2026年5月14日期间，满足连续三十个交易日中有十五个交易日的收盘价不低于当期转股价格82.75元/股的130%（即107.58元/股），已触发《募集说明书》中规定的有条件赎回条款。赎回价格为100.3329元/张。赎回价格=面值+当期应计利息=100+0.3329=100.3329元/张。自2026年6月10日起，本公司的“华特转债”将在上海证券交易所摘牌。,2026-06-09,,,,3.33,,2026-05-29,2026-06-09,100.33,连续三十个交易日中有十五个交易日的收盘价不低于当期转股价格的130%（即107.58元/股）,688268,华特气体,
,,强赎类公告,,,127026,超声转债,2026-06-15,8b3bad4da7db047b,,7,广东汕头超声电子股份有限公司董事会二O二六年五月二十六日,2026-06-15,,,,1.04,,2026-05-26,2026-06-12,101.04,自2026年4月20日至2026年5月22日，公司股票已有十五个交易日的收盘价不低于‘超声转债’当期转股价格的130%（含130%）,000823,超声电子,
,,下修类公告,,,113679,芯能转债,,8c59ea5cdd09e654,,4,自2026年4月3日至2026年5月11日期间，公司股票已有十五个交易日的收盘价格低于当期转股价（12.75元/股）的85%（即10.8375元/股），触发“芯能转债”的转股价格修正条款。自2026年5月12日起至2026年11月11日，如再次触发可转债转股价格向下修正条件，亦不提出向下修正方案。,,,,12.75,,,2026-05-12,,,,603105,浙江芯能光伏科技股份有限公司,连续30个交易日中有15个交易日收盘价低于转股价的85%
,主动下修,下修类公告,,,123104,卫宁转债,,8d9accbf4ff7258d,,1,"证券代码：300253证券简称：卫宁健康公告编号：2026-018
债券代码：123104债券简称：卫宁转债
卫宁健康科技集团股份有限公司关于预计触发卫宁转债转股价格向下修正条件的提示性公告
特别提示：
1、债券代码：123104债券简称：卫宁转债
2、转股价格：17.31元/股
3、转股期限：2021年9月22日至2027年3月15日
4、根据《卫宁健康科技集团股份有限公司向不特定对象发行可转换公司债券募集说明书》（以下简称“《募集说明书》”）中相关规定，在本次发行的可转换公司债券存续期间，当公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格的85%时，公司董事会有权提出转股价格向下修正方案并提交公司股东会审议表决。
截至本公告披露日，公司股票在2026年2月11日至2026年3月4日已有10个交易日的收盘价低于当期转股价格17.31元/股的85%(即14.71元/股)，预计可能触发卫宁转债转股价格向下修正条件。",,,,17.31,,,2026-03-04,,,,300253,卫宁健康,当公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价格低于当期转股价格的85%时，公司董事会有权提出转股价格向下修正方案并提交公司股东会审议表决。
,,强赎类公告,,,148097,22越控 04,2025-10-24,8e145a0b44fa4f77,,8,赎回价格：人民币 102.65元/张（含当期利息，且当期利息含税）,,,,,2.65,,2025-09-12,2025-10-23,102.65,发行人有权决定在本期债券存续期的第 3年末赎回本期债券全部或部分未偿份额,,广州越秀资本控股集团股份有限公司,
,,下修类公告,,,127049,希望转2,,8f09877146151532,,1,自2026年3月20日至2026年4月10日，公司股票已出现任意连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格的80%的情形，触发‘希望转2’转股价格向下修正条款。,,,,10.59,,,2026-04-11,,,,000876,新希望六和股份有限公司,连续30个交易日中有15个交易日收盘价低于当期转股价格的80%
,,强赎类公告,,,149975,22万科 05,2025-07-08,91677985324aa623,,6,二〇二五年六月二十三日；赎回价格 ：人民币 103.21元/张（含当期利息，且当期利息含税）,,,,,3.21,,2025-06-23,2025-07-07,103.21,发行人将于本期债券第 3个计息年度付息日前的第 20个交易日，在指定的信息披露媒体上发布关于是否行使赎回选择权的公告。若决定行使赎回权利，本期债券将被视为第 3年全部到期， 发行人将以票面面值加最后一期利息向投资者赎回全部本期债券。,000002,万科 A,
,,强赎类公告,,,123061,航新转债,,928143126cc465fb,,4,公司股票价格自2026年5月11日至2026年5月26日，公司股票已有10个交易日的收盘价不低于‘航新转债’当期转股价（14.82元/股）的130%（含130%，即19.27元/股）。,2026-07-21,,,,,,2026-05-26,,,连续30个交易日收盘价不低于当期转股价格的130%（含130%）,300424,航新科技,
,,强赎类公告,,,127024,盈峰转债,2026-05-29,8cfa70dcca47ac64,,7,盈峰环境科技集团股份有限公司董事会2026年5月19日,2026-05-28,,,,1.13,,2026-05-19,2026-05-28,101.13,连续30个交易日收盘价不低于当期转股价格的130%（含130%）,000967,盈峰环境科技集团股份有限公司,连续30个交易日收盘价不低于当期转股价格的130%（含130%）
13.81,主动下修,下修类公告,40.89,42.6,127069,小熊转债,,91acd4ac5d1a9b1f,2026-05-12,1,证券代码：002959 证券简称：小熊电器 公告编号：2026-052；债券代码：127069 债券简称：小熊转债；修正前转股价格：52.21元/股；修正后转股价格：45.00元/股；修正后转股价格生效日期：2026年5月12日。,,45.0,,52.21,,2026-05-11,2026-05-12,,,,002959,小熊电器,当公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价格低于当期转股价格85%时
,被动调整,下修类公告,,,111001,山玻转债,,93515a2b43d47919,,6,山东玻纤集团股份有限公司董事会2026年3月25日,,,,11.18,,,2026-03-25,,,,605006,山东玻纤,连续30个交易日中有15个交易日收盘价低于转股价的85%
,,强赎类公告,,,123054,思特转债,,9565e8e111d841ee,,Page 6,北京思特奇信息技术股份有限公司董事会 2026年5月22日；2026年5月29日为‘思特转债’赎回日，公司将全额赎回截至赎回登记日（2026年5月28日）收市后在中国结算登记在册的‘思特转债’；赎回价格：102.90元/张（含息税）,2026-05-29,,,,2.9,,2026-05-22,2026-05-28,102.9,连续三十个交易日中有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）,300608,北京思特奇信息技术股份有限公司,
15.0,被动调整,下修类公告,,,118061,茂莱转债,,977422048f1817d8,,,证券代码：688502 证券简称：茂莱光学 公告编号：2026-015 转债代码：118061 转债简称：茂莱转债 转股价格：364.43元/股 2026年4月4日 已有10个交易日的收盘价低于当期转股价格的85%（即309.77元/股）,,,,364.43,,,2026-04-04,,,,688502,南京茂莱光学科技股份有限公司,连续30个交易日中有15个交易日收盘价低于转股价的85%
2.16,主动下修,下修类公告,,,127059,永东转2,,8faebe45e93a52ac,,,自2026年4月3日至2026年4月17日，公司股票已有5个交易日的收盘价格低于当期转股价格的90%，即7.344元/股的情形,,8.16,,8.34,,,2026-04-17,,,,002753,永东股份,在本次发行的可转债存续期间，当公司股票在任意连续二十个交易日中至少有十个交易日的收盘价低于当期转股价格的90%时，公司董事会有权提出转股价格向下修正方案并提交公司股东大会审议表决
,,下修类公告,,,123138,丝路转债,,97e338f5eaa324c1,,3,截至2026年4月24日，公司股票（SZ.300556）已出现连续三十个交易日中至少有十五个交易日的收盘价格低于当期转股价格的85%的情形，触发丝路转债转股价格的向下修正条件。截至本公告披露日，丝路转债的转股价格为26.53元/股,,,,26.53,,,2026-04-25,,,,300556,丝路视觉,连续三十个交易日中至少有十五个交易日的收盘价格低于当期转股价格的85%
,主动下修,下修类公告,,,127098,欧晶转债,,996921a3ad0028f8,2024-10-14,,自2026年1月5日至2026年1月16日，公司股票已有十个交易日的收盘价格低于当期转股价格42.00元/股的85%,,42.0,,44.71,,,2026-01-16,,,,001269,欧晶科技,当公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格的85%
,,下修类公告,,,123179,立高转债,,99b22ce084405367,,Page 1,证券代码：300973 证券简称：立高食品 债券代码：123179 债券简称：立高转债 转股价格：人民币95.13元/股,,,,95.13,,2026-04-14,2026-04-27,,,,300973,立高食品,连续30个交易日中有15个交易日收盘价低于转股价的85%
,被动调整,下修类公告,,,127085,韵达转债,,9afdd9075e780b41,,3,2025年12月6日-2025年12月19日，公司股票已有十个交易日收盘价低于“韵达转债”当期转股价的85%，即9.97元/股的情形,,,,11.73,,,2025-12-20,,,,002120,韵达股份,当公司股票在任意连续三十个交易日中至少十五个交易日的收盘价低于当期转股价格85.00%时
,被动调整,下修类公告,,,127080,声迅转债,,944e58b0ba6141c9,,,自2025年12月12日至2025年12月25日，公司股票已有十个交易日的收盘价低于当期转股价格的85%（即24.60元/股）,,,,28.94,,,2025-12-25,,,,003004,*ST声迅,当公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格的85%时
,,强赎类公告,,,127024,盈峰转债,,9b2786a2a24bb705,,"1,6",最后转股日：2026年5月28日，赎回价格为人民币101.129元/张（含息税），赎回登记日：2026年5月28日，连续30个交易日收盘价不低于当期转股价格的130%（即9.971元/股）,2026-05-28,,,,1.13,,2026-05-26,2026-05-28,101.13,连续30个交易日收盘价不低于当期转股价格的130%,000967,盈峰环境科技集团股份有限公司,
,,强赎类公告,,,149975,22万科 05,2025-07-08,9b37d6e54de9cea5,,6,二〇二五年六月十日；赎回价格：人民币 103.21元/张（含当期利息，且当期利息含税）,,,,,3.21,,2025-06-10,2025-07-07,103.21,发行人将于本期债券第3个计息年度付息日前的第20个交易日，在指定的信息披露媒体上发布关于是否行使赎回选择权的公告。若决定行使赎回权利，本期债券将被视为第3年全部到期，发行人将以票面面值加最后一期利息向投资者赎回全部本期债券,000002,万科企业股份有限公司,
,,下修类公告,,,127062,垒知转债,,a3d746260afdc04e,,Page 6,自2026年1月28日至2026年2月10日，公司股票在连续30个交易日中有10个交易日的收盘价低于当期转股价格7.59元/股的85%，即6.45元/股的情形,,,,7.59,,,2026-02-11,,,,002398,垒知集团,当公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格的85%时
,,强赎类公告,,,149358,21万科02,,a4ad0a4f1aed511e,,4,万科企业股份有限公司（以下简称“公司”）于2021年1月22日完成“21万科02”发行，2026年1月22日为“21万科02”第5个计息年度付息日。公司决定放弃行使“21万科02”发行人赎回选择权。二〇二五年十二月五日,,,,,,,2025-12-05,,,,000002,万科A,
,,下修类公告,,,123117,健帆转债,,a4cc2809a81926ef,,1,自2026年4月15日至2026年4月28日，公司股票已有十个交易日低于当期转股价格的85%。截至目前‘健帆转债’最新有效的转股价格为38.65元/股,,,,38.65,,,2026-04-28,,,,300529,健帆生物,连续30个交易日中有15个交易日收盘价低于转股价的85%
,主动下修,下修类公告,,,127056,中特转债,,a5b9a09db1034483,,5,自2026年4月20日至2026年5月13日，公司股票已有15个交易日的收盘价低于当期转股价格的80%。中信泰富特钢集团股份有限公司董事会2026年5月14日,,,,22.23,,,2026-05-14,,,,000708,中信特钢,当公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价格低于当期转股价格的80%时，公司董事会会有权提出转股价格向下修正方案
1.25,被动调整,下修类公告,,,123262,神宇转债,,a7332c556818b526,2026-01-20,3,自2026年3月19日至2026年4月1日，公司股票已有10个交易日的收盘价低于当期转股价格的85%，即低于33.00元/股；转股价格由39.31元/股调整为38.82元/股,,38.82,,39.31,,2026-01-20,2026-04-01,,,,300563,神宇股份,当公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格的85%时，公司董事会有权提出转股价格向下修正方案并提交公司股东会审议表决
,,强赎类公告,,,22万科05,22万科05,,a5f021d933c7c8ae,,2,万科企业股份有限公司关于行使 ‘22万科 05’公司债券 赎回选择权的公告 证券代码： 000002、299903、149975 证券简称：万科 A、万科 H代、 22万科 05 二〇二五年 六月十日,,,,,,,2025-06-10,,,发行人将于本期债券第 3个计息年度付息日前的第 20个交易日，在指定的 信息披露媒体上发布关于是否行使赎回选择权的公告。,000002,万科 A,
,被动调整,下修类公告,,,127102,浙建转债,,a7558a1a5ce52328,,,自2025年10月23日至2025年12月3日，公司股票已有连续10个交易日的收盘价低于当期转股价10.91元/股的85%,,,,10.91,,,2025-12-03,,,,002761,浙江建投,当公司股票在任意连续三十个交易日中至少十五个交易日的收盘价低于当期转股价格的85%时，公司董事会有权提出转股价格向下修正方案并提交公司股东大会表决
,被动调整,下修类公告,,,127111,金威转债,,bae06a3ea9c073b6,,1,自2026年4月21日至2026年5月7日，厦门金达威集团股份有限公司（以下简称“公司”）股票已有10个交易日的收盘价低于当期转股价格的85%，即低于16.65元/股,,,,19.59,,,2026-05-08,,,,002626,金达威,当公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格的85%时
,被动调整,下修类公告,,,127025,冀东转债,,bbc48741d7d54ba2,,,自2026年1月1日起至2026年1月16日，公司股票已有10个交易日的收盘价格低于当期转股价格13.01元/股的85%，即11.0585元/股的情形,,,,13.01,,,2026-01-17,,,,000401,金隅冀东,连续30个交易日中有15个交易日收盘价低于转股价的85%
,,强赎类公告,,,123121,帝尔转债,2026-06-10,bac11fb39a354ef6,,1,证券代码：300776 证券简称：帝尔激光 公告编号：2026-057 债券代码：123121 债券简称：帝尔转债 可转债赎回价格：102.068元/张（含息税） 赎回款到达资金账户日：2026年6月10日,2026-06-03,,,,2.07,,2026-05-22,2026-06-02,102.07,连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）,300776,帝尔激光,
,,下修类公告,,,127038,国微转债,,c06dae0e08ec9a2a,,1,自2026年2月24日至2026年3月16日，紫光国芯微电子股份有限公司（以下简称“公司”）股票已经出现在连续三十个交易日中至少有十五个交易日的收盘价格低于当期转股价格的85%的情形，触发“国微转债”转股价格向下修正条件。,,,,97.3,,,2026-03-16,,,,002049,紫光国微,连续三十个交易日中有十五个交易日的收盘价格低于当期转股价格的85%
1.17,被动调整,下修类公告,,,127031,洋丰转债,,bd4e29e4d2c4aab0,2026-05-28,1,2026年5月18日至2026年5月29日，公司股票已有10个交易日的收盘价格低于当期转股价格的85%,,16.89,,17.09,,2026-05-28,2026-05-29,,,,000902,新洋丰,当公司股票在任意连续30个交易日中至少有15个交易日的收盘价低于当期转股价格的85%时
,,强赎类公告,,,111005,富春转债,2026-05-29,be8cad108806640e,,Page 1,证券代码：605189 证券简称：富春染织 公告编号：2026-036 转债代码：111005 转债简称：富春转债 赎回登记日：2026年5月28日 赎回价格：101.3973元/张 最后转股日：2026年5月28日 本次提前赎回完成后，富春转债将自2026年5月29日起在上海证券交易所摘牌。,2026-05-28,,,,1.4,,2026-05-27,2026-05-28,101.3973,连续三十个交易日收盘价不低于转股价的130%（含130%）,605189,富春染织,连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（即15.574元/股）
,主动下修,下修类公告,,,123179,立高转债,,c18e1322abb29a70,,4,立高食品股份有限公司董事会2026年5月7日召开第三届董事会第二十四次会议，审议通过了《关于不向下修正“立高转债”转股价格的议案》,,,,95.13,,,2026-05-07,,,,300973,立高食品,连续30个交易日中有15个交易日收盘价低于转股价的85%
,,强赎类公告,,,148064,22越控 02,2025-09-16,c5082b0e661f3a70,,1,2025年8月5日，广州越秀资本控股集团股份有限公司（以下简称“越秀资本”“公司”）发布了《广州越秀资本控股集团股份有限公司关于行使“22越控02”发行人赎回选择权暨放弃行使发行人调整票面利率选择权的公告》，本公告为上述事项的提示性公告。赎回价格：人民币102.67元/张（含当期利息，且当期利息含税）,,,,,2.67,,2025-08-05,2025-09-15,102.67,发行人有权决定在本期债券品种一存续期的第3年末赎回本期债券品种一全部或部分未偿份额,600415,广州越秀资本控股集团股份有限公司,
,,强赎类公告,,,127066,科利转债,,c5d4678f225382df,2026-06-15,Page 7,深圳市科达利实业股份有限公司董事会2026年5月21日；自2026年4月16日至2026年5月18日，公司股票已有十五个交易日的收盘价不低于‘科利转债’当期转股价格的130%（即193.31元/股）；‘科利转债’赎回价格为101.405元/张（含息税）,2026-06-15,,,,1.41,,2026-05-21,2026-06-12,101.41,在本次发行的可转债转股期内，如果公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）,002850,科达利,
,,下修类公告,,,118066,统联转债,,c8fa642cb800f224,,Page 1,证券代码：688210 证券简称：统联精密 公告编号：2026-015 债券代码：118066 债券简称：统联转债 公司于2026年4月10日召开第二届董事会第二十六次会议，审议通过了《关于不向下修正“统联转债”转股价格的议案》,,,,56.2,,2026-04-10,2026-04-11,,,,688210,深圳市泛海统联精密制造股份有限公司,连续30个交易日中有15个交易日收盘价低于转股价的85%
,,强赎类公告,,,123121,帝尔转债,2026-06-03,cdf614a9794f144b,,1,公告编号：2026-061；2026年5月28日为‘帝尔转债’最后一个交易日；2026年6月3日为‘帝尔转债’赎回日；赎回价格：102.068元/张（含息税）,2026-06-02,,,,2.07,,2026-05-28,2026-06-02,102.07,连续三十个交易日收盘价不低于当期转股价格的130%,300776,武汉帝尔激光科技股份有限公司,转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：（1）在转股期内，如果公司股票在连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）
,,下修类公告,,,113701,祥和转债,,ce3804ed625a6ff8,,,自2026年3月17日至2026年4月7日期间，公司股票在任意连续三十个交易日中已有十五个交易日的收盘价低于当期转股价格的85%（即11.55元/股），已触发“祥和转债”转股价格的向下修正条款。,,,,13.59,,,2026-04-08,,,,603500,祥和实业,连续30个交易日中有15个交易日收盘价低于转股价的85%
,,强赎类公告,,,123118,惠城转债,,d13a960f701cf7de,,Page 1,自2026年5月6日至2026年5月19日，公司股票已有10个交易日的收盘价不低于‘惠城转债’当期转股价格（14.59元/股）的130%（含130%，即18.97元/股）,2027-07-06,,,,,,2026-05-19,,,连续30个交易日收盘价不低于当期转股价格的130%,300779,青岛惠城环保科技集团股份有限公司,在本次发行的可转债转股期内，如果公司股票在任何连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）
,,下修类公告,,,110073,国投转债,,ddefa419f921e61f,,1,2026年3月13日至2026年3月26日，国投资本股份有限公司（以下简称“公司”）股票已有十个交易日的收盘价低于当期转股价格的80%（7.54元/股）,,,,9.42,,,2026-03-27,,,,600061,国投资本,当公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格的80%
,被动调整,下修类公告,,,123223,九典转02,,e2804f41ae582d70,,4,自2026年5月14日至2026年5月27日，湖南九典制药股份有限公司（以下简称“公司”）股票已有十个交易日的收盘价低于九典转02当期转股价格（14.95元/股）的85%（12.7075元/股）,,,,14.95,,,2026-05-27,,,,300705,九典制药,连续30个交易日中有15个交易日收盘价低于转股价的85%
,被动调整,下修类公告,,,123122,富瀚转债,,df38aa157fb374c0,,1,证券代码：300613 证券简称：富瀚微 公告编号：2026-033；自2026年4月24日至2026年5月12日，公司股票已有10个交易日的收盘价格低于当期转股价格的85%；转股价格：91.69元/股,,,,177.04,,,2026-05-12,,,,300613,富瀚微,当公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价格低于当期转股价格的85%时，公司董事会有权提出转股价格向下修正方案
25.5,主动下修,下修类公告,11.7,11.94,123150,九强转债,,f42507a7ecf3e5c6,2026-04-28,7,公司2026年第一次临时股东会召开前二十个交易日公司股票交易均价为11.94元/股，前一个交易日公司股票交易均价为11.70元/股。本次修正后的转股价格应不低于前项规定的股东大会召开日前二十个交易日公司股票交易均价和前一交易日公司股票交易均价。根据《募集说明书》相关规定及公司2026年第一次临时股东会的授权，综合考虑市场环境、股价走势等多重因素后，为支持公司长期稳健发展，提高可转债的投资价值，进一步优化公司资本结构，充分保护债券持有人的利益，公司董事会决定将“九强转债”的转股价格由16.48元/股向下修正为12.30元/股，修正后的转股价格自2026年4月28日起生效。,,12.3,,16.48,,2026-04-27,2026-04-27,,,,300406,九强生物,连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格的85%（即14.01元/股）的情形
,,强赎类公告,,,111005,富春转债,2026-05-29,f562aaa60e92046d,,Page 5,芜湖富春染织股份有限公司董事会2026年5月28日,2026-05-28,,,,1.4,,2026-05-28,2026-05-28,101.4,连续三十个交易日收盘价不低于转股价的130%,605189,富春染织,
,,下修类公告,,,118067,上26转债,,60dd6f5d7a842203,,1,转股价格：32.60元/股；在本次发行的可转换公司债券存续期内，当公司股票在任意连续三十个交易日中至少十五个交易日的收盘价低于当期转股价格85%时，公司董事会有权提出转股价格向下修正方案,,,截至公告日，尚未触发下修条件，仅为提示性公告,32.6,,,2026-04-04,,,,688533,上声电子,在本次发行的可转换公司债券存续期内，当公司股票在任意连续三十个交易日中至少十五个交易日的收盘价低于当期转股价格85%时
,,强赎类公告,,,123160,泰福转债,,60ec7680640eb727,,,自2026年5月6日至2026年5月19日，公司股票已有10个交易日的收盘价格不低于“泰福转债”当期转股价格（19.77元/股）的130%（含130%，即25.70元/股），预计将有可能触发“泰福转债”的有条件赎回条款：“在转股期内，如果公司股票在连续30个交易日中至少15个交易日的收盘价格不低于当期转股价格的130%（含130%），公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券。”,,,,,,,2026-05-19,,,在转股期内，如果公司股票在连续30个交易日中至少15个交易日的收盘价格不低于当期转股价格的130%（含130%），公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券。,300992,泰福泵业,
,,强赎类公告,,,118011,银微转债,,613d871d50a513ea,,3,自2026年5月14日至2026年5月28日，公司股票在连续十一个交易日内已有十个交易日的收盘价不低于当期转股价格31.30元/股的130%（含130%），即40.69元/股。若在未来连续十九个交易日内，公司股票有五个交易日的收盘价不低于当期转股价格的130%（含130%），将触发“银微转债”有条件赎回条款,,,,,,,2026-05-29,,,在本次发行的可转换公司债券转股期内，如果公司股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的130%（含130%）,688689,银河微电,
,,强赎类公告,,,123121,帝尔转债,,6152e4bd359538d1,,,特别提示： 1.可转债赎回日：2026年6月3日 2.可转债赎回价格：102.068元/张（含息税） 3.可转债赎回资金到账日：2026年6月10日 4.可转债停止交易日：2026年5月29日 5.可转债停止转股日：2026年6月3日 6.可转债赎回条件满足日：2026年5月12日 7.可转债赎回登记日：2026年6月2日,2026-06-02,,,,,,2026-05-29,2026-06-02,102.068,在转股期内，如果公司股票在连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）,300776,帝尔激光,
,,下修类公告,,,127069,小熊转债,,61ca69ef30ab2d7e,,,小熊电器股份有限公司关于“小熊转债”预计触发转股价格向下修正条件的提示性公告；转股价格：52.19元/股；在本次发行的可转换公司债券存续期间，当公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价格低于当期转股价格85%时,,,,52.19,,,2025-12-06,,,,002959,小熊电器,在本次发行的可转换公司债券存续期间，当公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价格低于当期转股价格85%时
,,下修类公告,,,127069,小熊转债,,61eaf159310af1aa,,,"证券简称： 小熊电器                                    证券代码： 002959
债券简称： 小熊转债                                    债券代码： 127069",,,,,,,,,,,002959,小熊电器,当公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价格低于当期转股价格85%时
,,下修类公告,,,127062,垒知转债,,639bf3400e523257,,,自2026年5月6日至2026年5月19日，公司股票在连续30个交易日中已有10个交易日的收盘价低于当期转股价格7.59元/股的85%，即6.45元/股的情形，预计触发转股价格向下修正条件。,,,,,,,2026-05-20,,,,002398,垒知集团,连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格的85%
